format,GM_latency_ms,GM_ci_lo_ms,GM_ci_hi_ms,p95_ms,p95_ci_lo_ms,p95_ci_hi_ms,codec,pattern,GETs_per_GiB
hdf5,241.1751541720481,231.6270141731025,251.94170766804697,341.74157579999996,295.0826276499999,364.32144025,gzip,slice,482.16970613229915
zarr,229.29770190093188,222.7216206943851,236.39047487613405,282.96377209999997,262.0207755,313.80736679999995,gzip,slice,126.65651410624909
tiledb,195.3348635643779,181.41733285755424,209.7388334443147,262.23865565,231.98002539999993,318.1261802499997,gzip,slice,113.27049819464352
root,406.2865916987771,396.63643150027985,416.0393071079865,471.30957955,450.79497125,501.10184249999986,gzip,slice,61.28126229654575
hdf5,222.3548499381165,214.9391132326931,229.5283817241689,273.10613639999997,250.504519,280.9727501,lz4,slice,270.48624211477795
zarr,175.8373315504218,158.85834268269087,194.7715194778364,349.19099904999996,280.67524,414.35706975,lz4,slice,134.98754535732107
tiledb,214.26968980496272,203.4246160573584,227.448783203084,274.37073764999997,260.9874364,402.9422393499998,lz4,slice,83.2068096170756
root,328.31161928355186,314.0489121810729,343.65374068529616,380.41216595,368.60178384999995,429.2210609999998,lz4,slice,51.05742076458764
hdf5,210.00190414905833,205.1233268201225,215.20436956443885,254.78889154999996,235.60117775,286.17833004999994,zstd,slice,488.00523200168715
zarr,155.09032427402047,149.1855483172514,161.91265578777882,194.76591775,176.70740700000002,242.62705269999975,zstd,slice,134.98754535732107
tiledb,176.8317601422556,164.97878861292756,189.87641365151748,249.7865213,205.499699,312.40653249999997,zstd,slice,120.71908671793692
root,269.1237110602104,263.82891633152303,274.9056420477959,311.1232752,291.8141043,340.5833022,zstd,slice,66.19748785313026
