format,codec,pattern,GetRequestsSum,BytesDownloadedSum_GiB,n_included,GETs_per_rep,GETs_per_rep_lo,GETs_per_rep_hi,GETs_per_GiB,GETs_per_GiB_lo,GETs_per_GiB_hi,run_file,cw_file
hdf5,gzip,full,78053.0,566.6335056954995,50,1561.06,1550.1274735279856,1572.0504827087163,137.74864919820774,136.7839580563915,138.71845442488828,hdf5_gzip_full_20250913-201255.json,hdf5_gzip_full_cloudwatch.json
root,gzip,full,66096.0,1130.3490039398894,50,1321.92,1311.8611578026023,1332.0368045096777,58.47397553288321,58.029031442060955,58.92148353591657,root_gzip_full_20250915-142929.json,root_gzip_full_cloudwatch.json
tiledb,gzip,full,55221.0,583.6703747501597,50,1104.42,1095.227460559263,1113.6705089145162,94.60990721627317,93.82243025681022,95.40235011852565,tiledb_gzip_full_20250914-063913.json,tiledb_gzip_full_cloudwatch.json
zarr,gzip,full,66045.0,565.4406747026369,50,1320.9,1310.845046597636,1331.012915744041,116.80270443001437,115.9135790228572,117.69695525034662,zarr_gzip_full_20250815-125347.json,zarr_gzip_full_cloudwatch.json
hdf5,gzip,slice,99.0,0.20532189961522818,50,1.98,1.6092462970839077,2.410578955063109,482.16970613229915,391.8837445249689,587.0243163492345,hdf5_gzip_slice_20250913-175541.json,hdf5_gzip_slice_cloudwatch.json
root,gzip,slice,63.0,1.0280467085540295,50,1.26,0.9682185959097448,1.6120873457378098,61.28126229654575,47.09020455264945,78.40535514214362,root_gzip_slice_20250914-130547.json,root_gzip_slice_cloudwatch.json
tiledb,gzip,slice,60.0,0.529705448076129,50,1.2,0.9157264190001453,1.5446378681328665,113.27049819464352,86.43732307511944,145.80158404476822,tiledb_gzip_slice_20250914-062234.json,tiledb_gzip_slice_cloudwatch.json
zarr,gzip,slice,65.0,0.5131990285590291,50,1.3,1.0033125545846853,1.6569567163174315,126.65651410624909,97.75082363287078,161.43412439515612,zarr_gzip_slice_20250815-125347.json,zarr_gzip_slice_cloudwatch.json
hdf5,lz4,full,77861.0,977.6124655203894,50,1557.22,1546.3009514311107,1568.1970048919493,79.64403354713167,79.08557869134805,80.20545257967777,hdf5_lz4_full_20250914-095729.json,hdf5_lz4_full_cloudwatch.json
root,lz4,full,66096.0,1356.9627807009965,50,1321.92,1311.8611578026023,1332.0368045096777,48.70877885527215,48.33814075301701,49.081552694524085,root_lz4_full_20250915-145724.json,root_lz4_full_cloudwatch.json
tiledb,lz4,full,74346.0,793.6178366141394,50,1486.92,1476.250698593291,1497.647259369379,93.67985013692096,93.00765623486426,94.3556955422577,tiledb_lz4_full_20250914-070640.json,tiledb_lz4_full_cloudwatch.json
zarr,lz4,full,67579.0,542.6640432998538,50,1351.58,1341.40872671969,1361.809234752372,124.53192879532398,123.59476763586517,125.47443041107226,zarr_lz4_full_20250813-205113.json,zarr_lz4_full_cloudwatch.json
hdf5,lz4,slice,240.0,0.8872909694910049,50,4.8,4.21188656186762,5.4472525085779475,270.48624211477795,237.34528506943846,306.9597626865721,hdf5_lz4_slice_20250914-123356.json,hdf5_lz4_slice_cloudwatch.json
root,lz4,slice,63.0,1.2339048674330115,50,1.26,0.9682185959097448,1.6120873457378098,51.05742076458764,39.23392400274769,65.32462057190685,root_lz4_slice_20250914-131625.json,root_lz4_slice_cloudwatch.json
tiledb,lz4,slice,60.0,0.7210948271676898,50,1.2,0.9157264190001453,1.5446378681328665,83.2068096170756,63.49556150589291,107.10365751754746,tiledb_lz4_slice_20250914-064937.json,tiledb_lz4_slice_cloudwatch.json
zarr,lz4,slice,65.0,0.4815259054303169,50,1.3,1.0033125545846853,1.6569567163174315,134.98754535732107,104.1805376688999,172.0527076146285,zarr_lz4_slice_20250813-202044.json,zarr_lz4_slice_cloudwatch.json
hdf5,zstd,full,77366.0,544.1165430452675,50,1547.32,1536.4357759958716,1558.26218055131,142.1864506581701,141.1862766933047,143.19195037060942,hdf5_zstd_full_20250914-121416.json,hdf5_zstd_full_cloudwatch.json
root,zstd,full,66096.0,1046.1305776042864,50,1321.92,1311.8611578026023,1332.0368045096777,63.18140528055738,62.70064110002682,63.66493978027757,root_zstd_full_20250915-152157.json,root_zstd_full_cloudwatch.json
tiledb,zstd,full,53079.0,547.8466762965545,50,1061.58,1052.5678828812331,1070.650088256813,96.88659673690864,96.0640931507147,97.71439114082169,tiledb_zstd_full_20250914-073059.json,tiledb_zstd_full_cloudwatch.json
zarr,zstd,full,66045.0,536.2359637934715,50,1320.9,1310.845046597636,1331.012915744041,123.16406294867029,122.2265136157952,124.10701683715062,zarr_zstd_full_20250815-134609.json,zarr_zstd_full_cloudwatch.json
hdf5,zstd,slice,241.0,0.4938471643254161,50,4.82,4.230622289392985,5.468514205885732,488.00523200168715,428.33315598479925,553.6646356323213,hdf5_zstd_slice_20250914-123859.json,hdf5_zstd_slice_cloudwatch.json
root,zstd,slice,63.0,0.9516977462917566,50,1.26,0.9682185959097448,1.6120873457378098,66.19748785313026,50.86796725548426,84.69534324417751,root_zstd_slice_20250914-132431.json,root_zstd_slice_cloudwatch.json
tiledb,zstd,slice,60.0,0.4970216527581215,50,1.2,0.9157264190001453,1.5446378681328665,120.71908671793692,92.12138082098699,155.38939395911726,tiledb_zstd_slice_20250914-071737.json,tiledb_zstd_slice_cloudwatch.json
zarr,zstd,slice,65.0,0.4815259054303169,50,1.3,1.0033125545846853,1.6569567163174315,134.98754535732107,104.1805376688999,172.0527076146285,zarr_zstd_slice_20250815-134609.json,zarr_zstd_slice_cloudwatch.json
