format,codec,pattern,sessions,GetRequestsSum_total,BytesDownloadedSum_total,FirstByteLatencyAverage_ms,FirstByteLatencyP95_ms,TotalRequestLatencyAverage_ms,TotalRequestLatencyP95_ms
hdf5,gzip,full,1.0,78053.0,608418093945.0,46.622,66.833,102.149,132.43
root,gzip,full,1.0,66096.0,1213703001247.0,63.206,80.167,204.174,245.199
tiledb,gzip,full,1.0,55221.0,626711292799.0,22.614,29.192,116.425,128.06
zarr,gzip,full,1.0,66045.0,607137301419.0,24.882,40.508,93.128,103.176
hdf5,gzip,slice,1.0,99.0,220462711.0,75.051,105.347,89.152,135.756
root,gzip,slice,1.0,63.0,1103856748.0,117.619,140.11,266.603,334.332
tiledb,gzip,slice,1.0,60.0,568766894.0,62.917,89.851,89.546,239.641
zarr,gzip,slice,1.0,65.0,551043261.0,87.597,132.875,118.938,181.698
hdf5,lz4,full,1.0,77861.0,1049703391893.0,45.517,63.953,107.108,137.238
root,lz4,full,1.0,66096.0,1457027691250.0,75.456,95.54,245.737,293.689
tiledb,lz4,full,1.0,74346.0,852140663445.0,22.567,29.158,117.307,126.492
zarr,lz4,full,1.0,67579.0,582681079672.0,24.785,34.685,89.638,96.15
hdf5,lz4,slice,1.0,240.0,952721424.0,63.621,86.445,77.8,106.719
root,lz4,slice,1.0,63.0,1324895263.0,120.524,141.858,294.825,363.41
tiledb,lz4,slice,1.0,60.0,774269675.0,57.133,77.672,97.454,259.554
zarr,lz4,slice,1.0,65.0,517034504.0,102.016,171.055,161.938,330.963
hdf5,zstd,full,1.0,77366.0,584240689398.0,43.157,60.93,94.571,105.935
root,zstd,full,1.0,66096.0,1123274154539.0,60.79,79.221,205.67,272.696
tiledb,zstd,full,1.0,53079.0,588245889479.0,22.754,29.244,113.891,125.19
zarr,zstd,full,1.0,66045.0,575778981858.0,23.604,32.837,88.483,96.587
hdf5,zstd,slice,1.0,241.0,530264355.0,56.191,77.999,65.813,93.934
root,zstd,slice,1.0,63.0,1021877674.0,68.444,85.236,189.476,250.441
tiledb,zstd,slice,1.0,60.0,533672936.0,62.633,106.719,80.901,207.882
zarr,zstd,slice,1.0,65.0,517034504.0,102.016,171.055,161.938,330.963
