format,L,point_ms,lo_ms,hi_ms,width_ms
hdf5,4,152821.48874282907,152328.27402004146,153066.7258095943,738.4517895528406
root,4,375320.9149738935,371898.72199732205,376255.6419730773,4356.919975755271
tiledb,4,14427.283344229209,14130.208657406136,14572.406541235507,442.19788382937077
zarr,4,30297.44883922006,29810.50617464361,30407.441787931315,596.9356132877037
hdf5,6,152821.48874282907,152393.96736133078,153059.6239063512,665.6565450204071
root,6,375320.9149738935,370722.2888396114,376258.761537837,5536.472698225582
tiledb,6,14427.283344229209,14099.369631665993,14578.944882713982,479.5752510479888
zarr,6,30297.44883922006,29755.05129304892,30408.48584217213,653.4345491232089
hdf5,8,152821.48874282907,152458.0166050834,153053.17892035964,595.1623152762477
root,8,375320.9149738935,369905.60630535556,376271.9527955236,6366.346490168071
tiledb,8,14427.283344229209,14068.234241722479,14581.704595240837,513.470353518358
zarr,8,30297.44883922006,29749.473218571326,30408.526290363126,659.0530717918009
hdf5,10,152821.48874282907,152551.53831293588,153041.1384050496,489.6000921137165
root,10,375320.9149738935,369348.985269124,376318.98700563324,6970.001736509264
tiledb,10,14427.283344229209,14065.491291309894,14578.949639140494,513.4583478305995
zarr,10,30297.44883922006,29738.04254617773,30408.526161872487,670.4836156947567
