format,L,point_ms,lo_ms,hi_ms,width_ms
hdf5,4,264.6881073019979,242.891216544412,288.24284199406327,45.351625449651266
root,4,321.44668324830207,298.8062909247854,339.1209712463027,40.3146803215173
tiledb,4,274.78829488398935,227.7910723298904,307.6618090879325,79.87073675804211
zarr,4,206.34030578018843,179.82771296203475,253.80084821140773,73.97313524937297
hdf5,6,264.6881073019979,242.43189079333325,286.9414468542812,44.50955606094794
root,6,321.44668324830207,298.35701791217707,338.44071612555206,40.08369821337499
tiledb,6,274.78829488398935,232.27123841498678,306.35370463570797,74.08246622072119
zarr,6,206.34030578018843,179.63696595544286,253.84895590599547,74.2119899505526
hdf5,8,264.6881073019979,242.79150598523015,286.87316642067344,44.0816604354433
root,8,321.44668324830207,298.48850979285857,338.11668801577036,39.6281782229118
tiledb,8,274.78829488398935,233.38112995524682,303.4243517905315,70.04322183528467
zarr,8,206.34030578018843,178.67605423766094,253.85495422916244,75.17889999150151
hdf5,10,264.6881073019979,243.18295047784386,285.71702848986564,42.53407801202178
root,10,321.44668324830207,298.5871206482216,337.3113320667132,38.724211418491564
tiledb,10,274.78829488398935,235.41239799172192,302.3995822300203,66.9871842382984
zarr,10,206.34030578018843,178.90095456675428,253.85711010614204,74.95615553938777
