format,GM_latency_ms,GM_ci_lo_ms,GM_ci_hi_ms,p95_ms,p95_ci_lo_ms,p95_ci_hi_ms,codec,pattern,GETs_per_GiB,GiB_per_rep,GM_time_sec,GM_throughput_GiB_s,GM_throughput_lo,GM_throughput_hi
hdf5,156965.50186919482,156394.2692022641,157761.46460763662,159599.90274865,157119.48520815,162739.05517049998,gzip,full,137.74864919820774,11.33267011390999,156.9655018691948,0.07219847660127207,0.07183420959037813,0.07246218273671837
zarr,35597.66446958468,35280.29390826504,35925.55107780006,36414.62686605,35871.113401149996,36446.654563300006,gzip,full,116.80270443001437,11.308813494052737,35.59766446958468,0.3176841419951919,0.3147846909727973,0.3205419298222865
tiledb,11254.21041502736,10993.80781405951,11529.019481554078,12419.4544122,11727.7801811125,12846.4378401,gzip,full,94.60990721627317,11.673407495003193,11.25421041502736,1.037248022252729,1.0125238762654647,1.0618165873406094
root,442483.5890289,434012.1317628037,451398.0943405196,464300.8161759,451985.323134,468890.788934,gzip,full,58.47397553288321,22.606980078797786,442.48358902890004,0.05109111533020324,0.05008213451105941,0.05208835980454332
hdf5,151427.4461078351,151200.8565580523,151665.64127759688,152780.4520007,152178.57911815,153032.67261995,lz4,full,79.64403354713167,19.552249310407788,151.4274461078351,0.12911958705612828,0.12891680110079043,0.12931308562330046
zarr,29483.4869751665,29254.872943911545,29741.31818499431,30279.57753895,29707.066171,30395.26018305,lz4,full,124.53192879532398,10.853280865997077,29.4834869751665,0.3681138827011416,0.36492265737814517,0.3709905316220434
tiledb,13601.54282979212,13265.21663814924,13870.778945887836,14387.3960416,13976.5954865,14567.758604599998,lz4,full,93.67985013692096,15.872356732282787,13.601542829792121,1.1669526708041378,1.1443017579764938,1.1965395790548727
root,363489.7140310302,358672.2106050286,367870.886122876,375030.8528954,369040.7453862,376387.87318,lz4,full,48.70877885527215,27.13925561401993,363.4897140310302,0.07466306353775701,0.07377386098707167,0.0756658999821589
hdf5,151497.28758855833,151070.53802804087,151996.08383412403,153272.5715358,152072.4321212,155554.2331929,zstd,full,142.1864506581701,10.882330860905348,151.49728758855832,0.07183185279501483,0.07159612660008678,0.07203476603019333
zarr,30364.68570917295,30166.63961020251,30554.96820033832,31093.443236699997,30714.1447458,31405.70262255,zstd,full,123.16406294867029,10.724719275869429,30.36468570917295,0.3531971112294296,0.35099755972747765,0.3555158749681312
tiledb,10383.968679342152,10123.107636316396,10686.791872079864,11505.564229,10695.9930354,11770.81964235,zstd,full,96.88659673690864,10.95693352593109,10.383968679342152,1.055177828851583,1.0252780869212017,1.0823685689781035
root,373588.96978921664,357497.1657285091,390215.9266702508,437729.6966750499,419904.02037795,452207.6835972499,zstd,full,63.18140528055738,20.922611552085726,373.58896978921666,0.056004361059938446,0.053618035867014295,0.05852525154835717
