format,L,point_ms,lo_ms,hi_ms,width_ms
hdf5,4,160558.49428296823,157224.33871744885,162902.98861303125,5678.649895582406
root,4,465370.92489022104,457976.33175413165,469617.8806891505,11641.548935018829
tiledb,4,12528.018102522097,11842.886957478535,12840.960139754918,998.0731822763828
zarr,4,36416.537111430596,36152.76064505083,36443.539124294504,290.77847924367234
hdf5,6,160558.49428296823,157173.48492731247,162902.75718777132,5729.272260458849
root,6,465370.92489022104,456191.6456290337,469619.7799524607,13428.134323427046
tiledb,6,12528.018102522097,11830.423400208792,12834.018027590177,1003.5946273813843
zarr,6,36416.537111430596,36058.93921440984,36442.951752232926,384.01253782308777
hdf5,8,160558.49428296823,157154.46687391013,162905.32918582106,5750.862311910925
root,8,465370.92489022104,453825.88806198194,469619.8630684927,15793.975006510736
tiledb,8,12528.018102522097,11833.170957604558,12833.088966331645,999.918008727087
zarr,8,36416.537111430596,35955.124622250965,36443.624687210766,488.5000649598005
hdf5,10,160558.49428296823,157141.98310580905,162905.33674012727,5763.35363431822
root,10,465370.92489022104,451293.17476042773,469619.907428304,18326.73266787629
tiledb,10,12528.018102522097,11844.195755390989,12823.466564577308,979.2708091863187
zarr,10,36416.537111430596,35871.05637068496,36444.5715734173,573.515202732342
