format,L,point_ms,lo_ms,hi_ms,width_ms
hdf5,4,154111.62216457684,152199.21106641638,155549.35187412382,3350.1408077074448
root,4,441404.9426584996,423524.4523354224,453743.71358800685,30219.26125258446
tiledb,4,11567.06077087071,10955.839459617851,11809.644663985728,853.8052043678763
zarr,4,31207.178874385245,30815.205705212702,31388.50197674478,573.2962715320791
hdf5,6,154111.62216457684,152193.06530036614,155549.36061364663,3356.2953132804832
root,6,441404.9426584996,424400.3631739952,453657.40043824556,29257.037264250335
tiledb,6,11567.06077087071,10831.350858991444,11808.86585020185,977.5149912104062
zarr,6,31207.178874385245,30808.51964428778,31378.559284806557,570.0396405187785
hdf5,8,154111.62216457684,152178.34120198456,155549.36083638328,3371.019634398719
root,8,441404.9426584996,425586.18772591645,453278.4537677066,27692.266041790135
tiledb,8,11567.06077087071,10800.06381798983,11808.866089140127,1008.8022711502963
zarr,8,31207.178874385245,30820.341027613737,31377.156876376335,556.8158487625988
hdf5,10,154111.62216457684,152191.85638990908,155549.33587476012,3357.4794848510355
root,10,441404.9426584996,426816.44366888877,452899.4813247472,26083.03765585844
tiledb,10,11567.06077087071,10790.061752983049,11808.839379967278,1018.7776269842288
zarr,10,31207.178874385245,30846.915126253974,31376.205507301493,529.2903810475182
