format,L,point_ms,lo_ms,hi_ms,width_ms
hdf5,4,344.70253089065284,304.3369333000909,366.4298511445822,62.092917844491296
root,4,479.5753357703473,456.4668242063715,502.96465897655696,46.49783477018548
tiledb,4,274.9938624809857,240.4541304464636,330.9527922630524,90.4986618165888
zarr,4,293.9905386684386,268.92356711909423,313.38000099453245,44.45643387543822
hdf5,6,344.70253089065284,302.50832108530415,366.5720046493127,64.06368356400856
root,6,479.5753357703473,455.16795125709734,503.84246217284954,48.674510915752194
tiledb,6,274.9938624809857,239.6750351784162,330.97082685114736,91.29579167273116
zarr,6,293.9905386684386,268.00719707910565,313.71836734942707,45.71117027032142
hdf5,8,344.70253089065284,302.2464705815771,366.5857253762698,64.33925479469269
root,8,479.5753357703473,454.8909551614121,503.95398325291535,49.06302809150327
tiledb,8,274.9938624809857,240.75495402931938,330.8916242733007,90.13667024398131
zarr,8,293.9905386684386,267.83120779600273,314.0821049049135,46.25089710891075
hdf5,10,344.70253089065284,302.4807906217148,366.70244779246036,64.22165717074557
root,10,479.5753357703473,453.33161469641163,503.93980888557957,50.60819418916793
tiledb,10,274.9938624809857,240.24525596520513,330.7601229614547,90.5148669962496
zarr,10,293.9905386684386,266.2982933694421,314.05815117021064,47.75985780076854
