format,L,point_ms,lo_ms,hi_ms,width_ms
hdf5,4,274.93922578796094,256.9471695183527,280.3472924961318,23.400122977779063
root,4,393.54543528518,373.20663603745083,439.36975240668966,66.16311636923882
tiledb,4,321.56664827230423,264.30058833597843,407.7816353826293,143.48104704665087
zarr,4,370.84448887467454,305.29904826035414,409.1370109148611,103.83796265450695
hdf5,6,274.93922578796094,257.90930947815764,280.2191325798878,22.30982310173016
root,6,393.54543528518,373.35527387690587,438.8043579999646,65.44908412305875
tiledb,6,321.56664827230423,263.41090213307723,400.90284372754763,137.4919415944704
zarr,6,370.84448887467454,301.62546157744026,407.5916681360768,105.96620655863654
hdf5,8,274.93922578796094,258.74848061132536,280.2261327663434,21.477652155018063
root,8,393.54543528518,374.3922999818901,438.7318516790097,64.33955169711959
tiledb,8,321.56664827230423,262.6533038695749,407.78891695636656,145.13561308679164
zarr,8,370.84448887467454,300.02655817024254,406.12519885203966,106.09864068179712
hdf5,10,274.93922578796094,261.1989904621288,280.0775468146786,18.878556352549822
root,10,393.54543528518,375.2226267295036,438.54222294110644,63.31959621160286
tiledb,10,321.56664827230423,261.6993736398438,407.9917096695742,146.2923360297304
zarr,10,370.84448887467454,298.228161193617,404.562453227148,106.33429203353103
